player_id,max_market_value,player_name,age,position,minutes_played,goals,assists,yellow_cards,red_cards,club_name,domestic_competition_id,image_url,cluster,cluster_name
649030,300000.0,Samba Diallo,21.0,Attack,354,1,0,2,0,Futbolniy Klub Dynamo Kyiv,UKR1,https://img.a.transfermarkt.technology/portrait/header/649030-1665388331.png?lm=1,Att_1,Promising Prospects
649033,7333333.333333333,Dion Lopy,22.0,Midfield,2098,0,0,5,0,Ud Almería,ES1,https://img.a.transfermarkt.technology/portrait/header/649033-1639674790.png?lm=1,Mid_0,Midfield Apprentices
649035,875000.0,Youssouph Badji,22.0,Attack,933,0,0,2,0,Royal Charleroi Sporting Club,BE1,https://img.a.transfermarkt.technology/portrait/header/649035-1704451094.jpg?lm=1,Att_1,Promising Prospects
649261,1400000.0,Viktor Aleksandrov,22.0,Defender,2518,2,1,9,1,Fk Nizhny Novgorod,RU1,https://img.a.transfermarkt.technology/portrait/header/649261-1722314315.png?lm=1,Def_2,In there Prime
649303,3750000.0,Daniil Denisov,21.0,Defender,2094,0,3,2,0,Fk Spartak Moskva,RU1,https://img.a.transfermarkt.technology/portrait/header/649303-1632579421.png?lm=1,Def_2,In there Prime
649317,18000000.0,Jhon Durán,20.0,Attack,660,6,0,5,0,Aston Villa Football Club,GB1,https://img.a.transfermarkt.technology/portrait/header/649317-1645958151.jpg?lm=1,Att_1,Promising Prospects
649343,500000.0,Dmitriy Vasiljev,20.0,Midfield,486,0,0,2,0,Ao Fk Zenit Sankt-Peterburg,RU1,https://img.a.transfermarkt.technology/portrait/header/649343-1721723612.png?lm=1,Mid_0,Midfield Apprentices
649452,10000000.0,Issa Kaboré,23.0,Defender,1788,0,2,7,0,Luton Town,GB1,https://img.a.transfermarkt.technology/portrait/header/649452-1724407648.jpg?lm=1,Def_1,Young Defenders
649490,1075000.0,Konan N’Dri,23.0,Attack,497,0,1,1,0,Oud-Heverlee Leuven,BE1,https://img.a.transfermarkt.technology/portrait/header/649490-1713338739.png?lm=1,Att_1,Promising Prospects
650350,1100000.0,Léo Leroy,24.0,Midfield,485,0,1,3,0,Montpellier Hérault Sport Club,FR1,https://img.a.transfermarkt.technology/portrait/header/650350-1702663395.JPG?lm=1,Mid_0,Midfield Apprentices
650393,50000.0,Vasyl Vashkeba,25.0,Midfield,14,0,0,0,0,Fc Minaj,UKR1,https://img.a.transfermarkt.technology/portrait/header/650393-1707314115.png?lm=1,Mid_0,Midfield Apprentices
650568,45000000.0,António Silva,20.0,Defender,3822,2,0,9,2,Sport Lisboa E Benfica,PO1,https://img.a.transfermarkt.technology/portrait/header/650568-1700235534.jpg?lm=1,Def_3,Defensive Titans
650712,4500000.0,Myron Van Brederode,20.0,Attack,1491,3,4,1,0,Alkmaar Zaanstreek,NL1,https://img.a.transfermarkt.technology/portrait/header/650712-1660763058.jpg?lm=1,Att_0,Breakthrough Ballers
650966,2833333.333333333,Samuele Vignato,20.0,Midfield,371,1,0,2,0,Associazione Calcio Monza,IT1,https://img.a.transfermarkt.technology/portrait/header/650966-1707129316.jpg?lm=1,Mid_0,Midfield Apprentices
650993,1500000.0,Filippo Missori,20.0,Defender,496,0,0,0,0,Us Sassuolo,IT1,https://img.a.transfermarkt.technology/portrait/header/650993-1692882881.jpg?lm=1,Def_1,Young Defenders
651005,4000000.0,Cher Ndour,19.0,Midfield,25,0,0,1,0,Paris Saint-Germain Football Club,FR1,https://img.a.transfermarkt.technology/portrait/header/651005-1727356126.png?lm=1,Mid_0,Midfield Apprentices
651269,2000000.0,Armin Gigovic,22.0,Midfield,1668,1,3,6,0,Fodbold Club Midtjylland,DK1,https://img.a.transfermarkt.technology/portrait/header/651269-1606809695.png?lm=1,Mid_0,Midfield Apprentices
651580,333333.3333333333,Matvey Kislyak,18.0,Midfield,439,1,0,1,0,Pfk Cska Moskva,RU1,https://img.a.transfermarkt.technology/portrait/header/651580-1693409850.png?lm=1,Mid_0,Midfield Apprentices
651735,1750000.0,Magnus Knudsen,23.0,Midfield,1679,1,0,4,0,Aarhus Gymnastik Forening,DK1,https://img.a.transfermarkt.technology/portrait/header/651735-1721850811.jpg?lm=1,Mid_0,Midfield Apprentices
651977,650000.0,Amine Boutrah,23.0,Attack,1959,4,3,3,0,Vitesse Arnhem,NL1,https://img.a.transfermarkt.technology/portrait/header/651977-1667575308.jpg?lm=1,Att_0,Breakthrough Ballers
652270,1933333.3333333333,Evgeniy Morozov,23.0,Defender,2723,2,1,10,0,"Футбольный Клуб ""Локомотив"" Москва",RU1,https://img.a.transfermarkt.technology/portrait/header/652270-1721715628.png?lm=1,Def_2,In there Prime
