player_name,transfer_fee,market_value_in_eur,days_since_last_transfer,num_transfers
Adam Tzanetopoulos,0.0,412500.0,782.7142857142857,8
Adam Vendelbo,0.0,37500.0,476.3333333333333,4
Adam Webster,27170000.0,1716666.6666666667,554.2,6
Adam Wharton,21100000.0,2500000.0,436.6666666666667,4
Adama Boiro,2000000.0,200000.0,548.0,3
Adama Bojang,0.0,150000.0,,1
Adama Sidibeh,0.0,0.0,419.0,5
Adama Soumaoro,2100000.0,2970000.0,649.3333333333334,10
Adama Traoré,38250000.0,8800000.0,553.125,9
Adame Faïz,0.0,0.0,365.0,2
Adamo Nagalo,7000000.0,2466666.6666666665,746.5,3
Adedire Mebude,1750000.0,200000.0,342.5,5
Adel Mahamoud,0.0,0.0,722.6666666666666,4
Adem Ljajic,34300000.0,8025000.0,504.8181818181818,12
Adem Zorgane,2000000.0,1650000.0,1096.0,2
Ademola Lookman,36150000.0,9250000.0,287.8888888888889,10
Ademola Ola-Adebomi,0.0,166666.66666666666,350.0,3
Aderllan Santos,14500000.0,2273076.923076923,443.3333333333333,13
Adi Nalic,0.0,300000.0,414.875,9
Adil Demirbağ,200000.0,280000.0,514.75,5
Admir Bajrovic,0.0,191176.4705882353,274.0,17
Admir Bristric,15000.0,200000.0,228.125,9
Admir Carlos Balat,0.0,0.0,,1
Admiral Muskwe,0.0,204545.45454545456,292.2,11
Adnan Aktaş,0.0,0.0,,1
Adnan Januzaj,8875000.0,5015384.615384615,436.25,13
Adnan Uğur,0.0,145000.0,243.44444444444446,10
Ado Onaiwu,1400000.0,777777.7777777778,436.875,9
Adolfo Gaich,8500000.0,4100000.0,232.36363636363637,12
Adri López,0.0,106250.0,469.7142857142857,8
Adri Miranda,0.0,35714.28571428572,365.1666666666667,7
Adrian Bajrami,0.0,250000.0,475.2,6
Adrian Beck,0.0,61111.11111111111,365.25,9
Adrian Benedyczak,2400000.0,220000.0,456.5,5
Adrian Blake,0.0,250000.0,352.0,2
Adrian Chovan,0.0,150000.0,486.8,11
Adrian Fein,0.0,1420833.3333333333,387.6470588235294,18
Adrian Grbic,9300000.0,985000.0,534.7142857142857,15
Adrian Kappenberger,0.0,75000.0,657.6,6
Adrian Mazilu,3000000.0,1875000.0,243.33333333333334,4
Adriano Bertaccini,800000.0,95454.54545454546,350.2,11
Adriano Bregou,0.0,0.0,366.0,2
Adriano Firmino,0.0,325000.0,949.0,2
Adriel Moraes,0.0,0.0,687.0,2
Adrien Hunou,4770000.0,1511111.111111111,593.5,9
Adrien Lebeau,0.0,170000.0,730.75,5
Adrien Rabiot,0.0,9909090.909090908,592.2,11
Adrien Silva,20500000.0,4217647.05882353,525.0625,17
Adrien Tamèze,7500000.0,2762500.0,577.0,8
Adrien Thomasson,4700000.0,2042857.142857143,641.1666666666666,7
Adrien Truffert,0.0,0.0,365.5,3
Adrien Trébel,3000000.0,887500.0,730.5714285714286,8
Adrià Altimira,0.0,660000.0,365.1111111111111,10
Adrià Pedrosa,0.0,3000000.0,821.75,5
Adrián,0.0,554545.4545454546,731.2,11
Adrián Bernabé,0.0,575000.0,610.6666666666666,4
Adrián Butzke,300000.0,176923.07692307694,243.41666666666666,13
Adrián Colombino,0.0,521428.5714285714,762.6666666666666,7
Adrián Embarba,11000000.0,1475000.0,730.4285714285714,8
Adrián Marín,600000.0,936363.6363636364,365.2,11
Adrián Niño,0.0,0.0,547.5,3
Adrián Palacios,1700000.0,316666.6666666667,365.5,3
Adrián Pica,0.0,80000.0,289.5,5
Adrián Riera,0.0,150000.0,363.875,9
Adrián Rodríguez,0.0,18750.0,469.7142857142857,8
Adrián Salguero,0.0,6250.0,436.3333333333333,4
Adryelson,3580000.0,2836363.6363636362,383.3,11
Adson,10000000.0,3666666.6666666665,529.5,3
Adu Ares,0.0,83333.33333333333,584.4,6
Afonso Freitas,125000.0,100000.0,448.1111111111111,10
Afonso Monteiro,0.0,0.0,608.6666666666666,4
Afonso Moreira,0.0,66666.66666666667,438.2,6
Afonso Patrão,0.0,0.0,411.25,5
Afonso Rodrigues,0.0,100000.0,547.8333333333334,7
Agil Etemadi,0.0,129166.66666666667,564.4545454545455,12
Agon Elezi,80000.0,175000.0,583.75,5
Agon Mucolli,0.0,205555.55555555556,411.5,9
Aguibou Camara,3120000.0,1383333.3333333333,514.4,6
Agustín Anello,0.0,256250.0,260.85714285714283,8
Agustín Marchesín,12900000.0,2121428.5714285714,1036.3333333333333,7
Agustín Martegani,0.0,975000.0,547.3333333333334,4
Agustín Álvarez,12000000.0,4125000.0,535.6666666666666,4
Ahmed Abdullahi,0.0,0.0,,1
Ahmed Hassan,2700000.0,2337500.0,323.53333333333336,16
Ahmed Ildız,0.0,402272.7272727273,506.7,11
Ahmed Iljazovski,0.0,21428.571428571428,375.8333333333333,7
Ahmed Kutucu,7780000.0,1066666.6666666667,616.4545454545455,12
Ahmed Musa,41000000.0,7845454.545454546,489.6,11
Ahmed Touba,2000000.0,930769.2307692308,334.75,13
Ahmet Aslan,0.0,62500.0,404.0,6
Ahmet Daş,0.0,8571.42857142857,568.5,7
Ahmet Engin,0.0,321428.5714285714,791.5,7
Ahmet Kağan Malatyalı,0.0,25000.0,473.1666666666667,7
Ahmet Mert Koşar,0.0,0.0,153.0,2
Ahmet Necat Aydın,0.0,0.0,447.75,5
Ahmet Oğuz,0.0,327777.77777777775,768.75,9
